x,y
8.363404037844388017e-02,5.514159282226820807e-02
8.279492510965087704e-02,5.457510453177082110e-02
8.195613391214641441e-02,5.400839217045399349e-02
8.111767288571562762e-02,5.344143898612188637e-02
8.027954777688066368e-02,5.287422900049289914e-02
7.944176397259758438e-02,5.230674700980730840e-02
7.860432649385570847e-02,5.173897858554820511e-02
7.776723998917359215e-02,5.117091007528352248e-02
7.693050872798495865e-02,5.060252860363720351e-02
7.609413659390783236e-02,5.003382207339861221e-02
7.525812707788935574e-02,4.946477916677950726e-02
7.442248327121864238e-02,4.889538934682897270e-02
7.358720785839854839e-02,4.832564285901713719e-02
7.275230310986784132e-02,4.775553073299945717e-02
7.191777087456334427e-02,4.718504478457436618e-02
7.108361257231157748e-02,4.661417761784779346e-02
7.024982918603861481e-02,4.604292262761938703e-02
6.941642125378524875e-02,4.547127400200613734e-02
6.858338886051459915e-02,4.489922672532072057e-02
6.775073162969738605e-02,4.432677658122297082e-02
6.691844871465923994e-02,4.375392015616436786e-02
6.608653878967310491e-02,4.318065484314747432e-02
6.525500004077849914e-02,4.260697884582356765e-02
6.442383015630742671e-02,4.203289118295396726e-02
6.359302631709541631e-02,4.145839169326282631e-02
6.276258518635428885e-02,4.088348104071133637e-02
6.193250289918078577e-02,4.030816072022606888e-02
6.110277505167331646e-02,3.973243306391713303e-02
6.027339668962628655e-02,3.915630124782491783e-02
5.944436229676895722e-02,3.857976929923807169e-02
5.861566578251226067e-02,3.800284210462880757e-02
5.778730046916411706e-02,3.742552541825670820e-02
5.695925907856937837e-02,3.684782587149633415e-02
5.613153371812690251e-02,3.626975098295011357e-02
5.530411586613095259e-02,3.569130916941330722e-02
5.447699635637954368e-02,3.511250975776538524e-02
5.365016536198558006e-02,3.453336299786887581e-02
5.282361237832104706e-02,3.395388007656596069e-02
5.199732620501629210e-02,3.337407313287200916e-02
5.117129492692871345e-02,3.279395527447622610e-02
5.034550589398563425e-02,3.221354059567151790e-02
4.951994569979544653e-02,3.163284419684906507e-02
4.869460015890984816e-02,3.105188220570870988e-02
4.786945428260559049e-02,3.047067180035314959e-02
4.704449225304023485e-02,2.988923123445409377e-02
4.621969739561761215e-02,2.930757986470042958e-02
4.539505214938016620e-02,2.872573818076416818e-02
4.457053803522239427e-02,2.814372783804919634e-02
4.374613562169347297e-02,2.756157169352076858e-02
4.292182448812822959e-02,2.697929384495234215e-02
4.209758318481127137e-02,2.639691967397039471e-02
4.127338918983956828e-02,2.581447589332834525e-02
4.044921886230398028e-02,2.523199059890012322e-02
3.962504739135708220e-02,2.464949332695170678e-02
3.880084874067352141e-02,2.406701511732895274e-02
3.797659558773763822e-02,2.348458858329256077e-02
3.715225925730913925e-02,2.290224798884012841e-02
3.632780964831957421e-02,2.232002933448318238e-02
3.550321515333556416e-02,2.173797045259796834e-02
3.467844256958816512e-02,2.115611111364792268e-02
3.385345700040363892e-02,2.057449314478817376e-02
3.302822174567660030e-02,1.999316056261654304e-02
3.220269817979264787e-02,1.941215972214002661e-02
3.137684561512651960e-02,1.883153948439232270e-02
3.055062114890192554e-02,1.825135140558208427e-02
2.972397949078559379e-02,1.767164995119119286e-02
2.889687276808331276e-02,1.709249273910264794e-02
2.806925030478472222e-02,1.651394081664890948e-02
2.724105836993697891e-02,1.593605897747547850e-02
2.641223988987283569e-02,1.535891612536312983e-02
2.558273411762471833e-02,1.478258569371685566e-02
2.475247625135027288e-02,1.420714613140295138e-02
2.392139699168252531e-02,1.363268146812368457e-02
2.308942202546882677e-02,1.305928197573177039e-02
2.225647142020138747e-02,1.248704494603765022e-02
2.142245890932221661e-02,1.191607561107418077e-02
2.058729104316430261e-02,1.134648823890815374e-02
1.975086617308248818e-02,1.077840744756805753e-02
1.891307322663152851e-02,1.021196979241533083e-02
1.807379021844636446e-02,9.647325699668952981e-03
1.723288242325795444e-02,9.084641842797213165e-03
1.639020011195897047e-02,8.524104092127787399e-03
1.554557571531418360e-02,7.965921215927653301e-03
1.469882022729674699e-02,7.410329580635120067e-03
1.384971858230426775e-02,6.857599200557438525e-03
1.299802362314458719e-02,6.308041642404397381e-03
1.214344809507852431e-02,5.762020530094895572e-03
1.128565381233206759e-02,5.219965777369203752e-03
1.042423666929576109e-02,4.682393303325685721e-03
9.558705361567868333e-03,4.149933054754513170e-03
8.688450249442885090e-03,3.623370057326336709e-03
7.812696124491117985e-03,3.103706760226527910e-03
6.930427351542583526e-03,2.592261954389669075e-03
6.040262604015848857e-03,2.090836483670133888e-03
5.140230175017830930e-03,1.602010814867853381e-03
4.227325991152623176e-03,1.129731044806333044e-03
3.296523882057401499e-03,6.806226247980146256e-04
2.338072018792328004e-03,2.675831507536701294e-04
1.326892694026773640e-03,-7.611313071270091150e-05
0.000000000000000000e+00,0.000000000000000000e+00
