# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
23              	smoothSolver	3.60826000e-01	2.40803350e-01	1000	2.13225860e-01	4.75768430e-04	1	false	smoothSolver	1.86865130e-01	1.22456050e-02	1	true	smoothSolver	1.86854520e-01	1.22471130e-02	1	true	GAMG	4.81410850e-01	2.98865620e-03	3	true
24              	smoothSolver	3.59396240e-01	2.44338660e-01	1000	2.16921330e-01	4.78965470e-04	1	false	smoothSolver	1.73767140e-01	1.13847410e-02	1	true	smoothSolver	1.73756820e-01	1.13861250e-02	1	true	GAMG	4.90637830e-01	3.45246070e-03	3	true
25              	smoothSolver	3.61185940e-01	2.44082220e-01	1000	2.17913900e-01	4.77666730e-04	1	false	smoothSolver	1.61836520e-01	1.06067100e-02	1	true	smoothSolver	1.61827090e-01	1.06080030e-02	1	true	GAMG	5.69380390e-01	4.24900590e-03	3	true
26              	smoothSolver	3.53260660e-01	2.41977000e-01	1000	2.21978810e-01	4.88385390e-04	1	false	smoothSolver	1.51105600e-01	9.90143260e-03	1	true	smoothSolver	1.51096830e-01	9.90264030e-03	1	true	GAMG	5.49254840e-01	3.55486830e-03	3	true
27              	smoothSolver	3.52786250e-01	2.37690910e-01	1000	2.21150920e-01	4.93699200e-04	1	false	smoothSolver	1.41164970e-01	9.25141810e-03	1	true	smoothSolver	1.41156940e-01	9.25256380e-03	1	true	GAMG	5.71621870e-01	2.82179890e-03	4	true
28              	smoothSolver	3.55469110e-01	2.38489930e-01	1000	2.15440320e-01	4.79373540e-04	1	false	smoothSolver	1.32085410e-01	8.65569080e-03	1	true	smoothSolver	1.32077750e-01	8.65674810e-03	1	true	GAMG	5.21503590e-01	3.70833450e-03	3	true
29              	smoothSolver	3.64498900e-01	2.44951650e-01	1000	2.13922280e-01	4.70901830e-04	1	false	smoothSolver	1.23777970e-01	8.11127130e-03	1	true	smoothSolver	1.23770700e-01	8.11226000e-03	1	true	GAMG	5.02580060e-01	4.01886790e-03	3	true
30              	smoothSolver	3.56648060e-01	2.44339300e-01	1000	2.09592050e-01	4.60498860e-04	1	false	smoothSolver	1.16213210e-01	7.61639940e-03	1	true	smoothSolver	1.16206290e-01	7.61731810e-03	1	true	GAMG	4.29756630e-01	3.61201960e-03	3	true
31              	smoothSolver	3.60833280e-01	2.47810970e-01	1000	2.07377720e-01	4.55298470e-04	1	false	smoothSolver	1.09276700e-01	7.16059350e-03	1	true	smoothSolver	1.09270260e-01	7.16146170e-03	1	true	GAMG	4.13203950e-01	2.06912680e-03	4	true
32              	smoothSolver	3.61251730e-01	2.46132130e-01	1000	2.08119510e-01	4.65293930e-04	1	false	smoothSolver	1.02912870e-01	6.74519190e-03	1	true	smoothSolver	1.02906790e-01	6.74600860e-03	1	true	GAMG	4.57655810e-01	3.17904040e-03	4	true
33              	smoothSolver	3.56101510e-01	2.38638000e-01	1000	2.09744330e-01	4.68759730e-04	1	false	smoothSolver	9.70704570e-02	6.36141080e-03	1	true	smoothSolver	9.70646130e-02	6.36217300e-03	1	true	GAMG	3.83844730e-01	2.87702170e-03	3	true
34              	smoothSolver	3.57286350e-01	2.45609390e-01	1000	2.11567340e-01	4.79176380e-04	1	false	smoothSolver	9.16975710e-02	6.00981100e-03	1	true	smoothSolver	9.16919830e-02	6.01053000e-03	1	true	GAMG	3.98842270e-01	3.42387980e-03	3	true
35              	smoothSolver	3.60705000e-01	2.40566620e-01	1000	2.18928150e-01	4.96726890e-04	1	false	smoothSolver	8.67334070e-02	5.68446070e-03	1	true	smoothSolver	8.67280670e-02	5.68513490e-03	1	true	GAMG	4.27221120e-01	2.70395460e-03	4	true
36              	smoothSolver	3.55815530e-01	2.41247350e-01	1000	2.20533750e-01	5.08539630e-04	1	false	smoothSolver	8.21602340e-02	5.38462510e-03	1	true	smoothSolver	8.21552420e-02	5.38527030e-03	1	true	GAMG	4.88946540e-01	4.03449220e-03	3	true
37              	smoothSolver	3.54364860e-01	2.44780140e-01	1000	2.17608190e-01	4.96928830e-04	1	false	smoothSolver	7.79166420e-02	5.10683470e-03	1	true	smoothSolver	7.79117500e-02	5.10743430e-03	1	true	GAMG	5.38882100e-01	3.55366650e-03	4	true
38              	smoothSolver	3.58218680e-01	2.38441270e-01	1000	2.09107020e-01	4.85312060e-04	1	false	smoothSolver	7.39738540e-02	4.84807840e-03	1	true	smoothSolver	7.39692720e-02	4.84865400e-03	1	true	GAMG	4.38938240e-01	4.24760160e-03	3	true
